symbol,side,entry_price,avg_exit_price,size_usdt,pnl_usdt,pnl_pct,fee_total,funding_paid,entry_ts,exit_ts,duration_min,score,exit_reason,correlation_id,source,confs,regime,macro_risk
BTC/USDT,LONG,76887.294714,76633.002594,193.8186,-0.7186,-0.37,0.1551,0.0,2026-04-28T02:55:05.588020+00:00,2026-04-28T03:07:47.050878+00:00,12.7,6,sl,e0a917d7315d,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'Rejet 5m/15m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,76848.68156,76819.077929,193.6438,-0.1521,-0.08,0.1549,0.0,2026-04-28T03:43:22.210683+00:00,2026-04-28T04:19:26.455764+00:00,36.1,6,sl,6ea033aa1bf6,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'Rejet 5m/15m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,76854.505052,76890.272173,193.6362,0.0127,0.01,0.1549,0.0,2026-04-28T04:22:17.785841+00:00,2026-04-28T05:05:28.223212+00:00,43.2,6,tp_cascade,06a22d83c13f,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'Rejet 5m/15m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,77012.489786,77048.330414,193.6875,0.0127,0.01,0.1549,0.0,2026-04-28T05:11:56.829425+00:00,2026-04-28T05:28:18.180145+00:00,16.4,6,tp_cascade,e1627b1fd1e1,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'Rejet 5m/15m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
PAXG/USDT,SHORT,4660.462044,4650.426683,194.1334,0.3404,0.18,0.1553,0.0,2026-04-28T01:58:09.936750+00:00,2026-04-28T05:30:22.232177+00:00,212.2,5,tp_cascade,82fcae146a4f,internal,"['EMA200-H4 baissier', 'OB/FVG 30m (tested)', 'OB/FVG double conf 15m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,77096.039886,76892.8366,193.6719,-0.5879,-0.3,0.1549,0.0,2026-04-28T05:30:38.950939+00:00,2026-04-28T05:35:58.989814+00:00,5.3,6,sl,b1624fe19b1b,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,76983.082152,76780.514034,193.5267,-0.5866,-0.3,0.1548,0.0,2026-04-28T05:36:14.995926+00:00,2026-04-28T05:42:11.997062+00:00,6.0,6,sl,fc18bd8837b8,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
BTC/USDT,LONG,76927.588876,76867.892176,193.46,-0.2275,-0.12,0.1548,0.0,2026-04-28T05:46:48.252895+00:00,2026-04-28T05:59:52.092675+00:00,13.1,6,sl,3623793af6c7,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
PAXG/USDT,SHORT,4635.41708,4631.824695,193.6101,0.0727,0.04,0.1549,0.0,2026-04-28T05:34:37.700752+00:00,2026-04-28T06:08:45.781034+00:00,34.1,6,sl,cd66051bff0b,internal,"['EMA200-H4 baissier', 'BOS H2/H1', 'H2+H1 alignés', 'TRIX 5m', 'Delta volume confirme', 'ADX régime TREND']",TREND,0.0
BTC/USDT,LONG,76990.51661,76777.915594,193.3881,-0.6114,-0.32,0.1547,0.0,2026-04-28T06:03:59.943079+00:00,2026-04-28T06:37:42.546500+00:00,33.7,6,sl,1efeb2d248ad,internal,"['EMA200-H4 haussier', 'OB/FVG 30m (fvg)', 'OB/FVG double conf 15m', 'TRIX 5m', 'Delta volume confirme', 'ADX régime RANGE']",RANGE,0.0
