2026-05-02 07:17:08,975 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 31)
2026-05-02 07:17:08,994 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 32)
2026-05-02 07:17:09,009 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 33)
2026-05-02 07:17:09,023 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 29)
2026-05-02 07:17:09,039 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 34)
2026-05-02 07:17:09,055 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 35)
2026-05-02 07:17:09,070 | INFO     | assistant.tts_engine | [TTS] Piper prêt — modèle: fr_FR-upmc-medium.onnx
2026-05-02 07:17:09,070 | INFO     | core.signal_engine | [SCAN] BTC/USDT — df30 insuffisant (0 barres, min=10) — en attente de données WS
2026-05-02 07:17:09,070 | INFO     | core.signal_engine | [SCAN] PAXG/USDT — df30 insuffisant (0 barres, min=10) — en attente de données WS
2026-05-02 07:17:09,070 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 36)
2026-05-02 07:17:09,102 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 30)
2026-05-02 07:17:09,119 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 31)
2026-05-02 07:17:09,135 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 32)
2026-05-02 07:17:09,161 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 33)
2026-05-02 07:17:09,179 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 37)
2026-05-02 07:17:09,210 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 34)
2026-05-02 07:17:09,225 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 35)
2026-05-02 07:17:09,245 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 36)
2026-05-02 07:17:09,264 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 38)
2026-05-02 07:17:09,278 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 39)
2026-05-02 07:17:09,301 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 37)
2026-05-02 07:17:09,320 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 40)
2026-05-02 07:17:09,339 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 41)
2026-05-02 07:17:09,354 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 38)
2026-05-02 07:17:09,378 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 39)
2026-05-02 07:17:09,409 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 40)
2026-05-02 07:17:09,426 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 41)
2026-05-02 07:17:09,443 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 42)
2026-05-02 07:17:09,460 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 42)
2026-05-02 07:17:09,485 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 43)
2026-05-02 07:17:09,501 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 43)
2026-05-02 07:17:09,527 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 44)
2026-05-02 07:17:09,539 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 44)
2026-05-02 07:17:09,559 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 45)
2026-05-02 07:17:09,575 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 46)
2026-05-02 07:17:09,590 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 47)
2026-05-02 07:17:09,605 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 48)
2026-05-02 07:17:09,627 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 49)
2026-05-02 07:17:09,649 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 50)
2026-05-02 07:17:09,670 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 45)
2026-05-02 07:17:09,687 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 46)
2026-05-02 07:17:09,703 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 51)
2026-05-02 07:17:09,729 | INFO     | api.websocket | [WS] Client connecté BTC/USDT (total: 52)
2026-05-02 07:17:09,743 | INFO     | api.websocket | [WS] Client connecté PAXG/USDT (total: 47)
